Gatenavn,Kommentar,Dato,Tidpunkt,lat,lon
BADEBAKKEN,Maridalsveien – Ende,09.05.2023,07.00-19.00,59.9459367,10.762192
BADSTUGATA,Mariboes Gate – Torggata,03.05.2023,19.00-07.00,59.9161863,10.7508752
BAKKEHAUGVEIEN,fra blåsebortveien,03.05.2023,07.00-19.00,59.9506667,10.7564615
BAKKEHAUGVEIEN,Hele,03.05.2023,07.00-19.00,59.9506667,10.7564615
BAKKELIKROKEN,Hele,25.05.2023,07.00-19.00,59.9317316,10.6841939
BAKKERUDVEIEN,Hele,24.04.2023,07.00-19.00,59.8693841,10.8060938
BAKKETOPPEN,Hele,17.04.2023,07.00-19.00,59.8529006,10.8072918
BALCHENS GATE,Frederik Stangs Gate – Gimleveien,18.04.2023,07.00-19.00,59.9183201,10.707894
BALDERS GATE,Vestheimgt – Løvenskiolds Gt – Fr. Stangs Gt,18.04.2023,07.00-19.00,59.9189796,10.7111266
BALLPLASSVEIEN,Hele,19.04.2023,07.00-19.00,59.8977201,10.7820542
BAMSEVEIEN,Hele,12.05.2023,07.00-19.00,59.9457075,10.6820194
BANEVEIEN,Hele,05.05.2023,07.00-19.00,59.9093022,10.8349962
BARLIVEIEN,Hele,08.05.2023,07.00-19.00,59.9610101,10.7506169
BARNEHJEMSVEIEN,Hele,19.04.2023,07.00-19.00,59.8980074,10.7864076
BAUNEVEIEN,Hele,20.04.2023,07.00-19.00,59.8906891,10.7947778
BEDRIFTSVEIEN,Hele,19.04.2023,19.00-07.00,59.945433,10.8678879
BEHRENS` GATE,Niels Juels Gt – Oscars Gt,27.04.2023,07.00-19.00,59.9166294,10.7165562
BEIERBRUA,Biermanns Gate – Sagveien,04.05.2023,19.00-07.00,59.9309298,10.7577166
BEITEVEIEN,Hele,19.04.2023,19.00-07.00,59.8969103,10.8143507
BEKKEFARET,Hele,19.05.2023,07.00-19.00,59.9259848,10.6610964
BEKKELAGSTERRASSEN,Hele,13.04.2023,07.00-19.00,59.8757494,10.7802095
BEKKELIBAKKEN,Hele,25.05.2023,07.00-19.00,59.9312008,10.6845872
BEKKELISTUBBEN,Hele,25.05.2023,07.00-19.00,59.9328185,10.6844574
BEKKELIVEIEN,Hele,25.05.2023,07.00-19.00,59.9313588,10.6828929
BEKKENSTENVEIEN,Vestbyveien-Vestbyveien,03.05.2023,07.00-19.00,59.9552285,10.8916284
BEKKENSTENVEIEN,Grorudveien-Vestbyveien,07.05.2023,19.00-07.00,59.9552285,10.8916284
BEKKEVEIEN,Hele,03.05.2023,07.00-19.00,59.9050443,10.8163514
BEKKEVOLLVEIEN,Hele,25.04.2023,07.00-19.00,59.9460907,10.9167173
BENNECHES GATE,Sofies Gate – Frydenlunds Gate,15.05.2023,07.00-19.00,59.9248367,10.7360957
BENTSEBRUGATA,Maridalsveien – Vogts Gate,23.04.2023,19.00-07.00,59.9364939,10.7614497
BENTSEBRUGATA,Trapp V/Bentsegata,23.04.2023,19.00-07.00,59.9364939,10.7614497
BENTSEBRUGATA/LILLEBORG,Treschows Gate – Bentsebrugata,03.05.2023,07.00-19.00,59.9336084,10.7648113
BENTSEGATA,Maridalsveien – Bentsebrugata,04.05.2023,07.00-19.00,59.937824,10.7585294
BERGENSGATA,Maridalsveien – Nydalsveien,23.04.2023,19.00-07.00,59.9425521,10.7596638
BERGENSVEIEN,Hele,08.05.2023,19.00-07.00,59.9638524,10.8835189
BERGKRYSTALLEN,Hele,24.04.2023,07.00-19.00,59.868973,10.8195172
BERGLJOTS VEI,Einars Vei – Einars Vei,02.05.2023,07.00-19.00,59.9234452,10.7842987
BERGLYVEIEN,Hele,26.04.2023,07.00-19.00,59.8317064,10.8063674
BERGRÅDVEIEN,Fra Blåsbortveien til Bergrådveien,03.05.2023,07.00-19.00,59.9539672,10.7582156
BERGRÅDVEIEN,Fra Heierstuveien til Rolf Wikstrømsvei,05.05.2023,07.00-19.00,59.9539672,10.7582156
BERGSALLEN,Hele,21.04.2023,07.00-19.00,59.9457223,10.7352085
BERGSLIA,Hele,21.04.2023,07.00-19.00,59.948989,10.7374639
BERGSLIENS GATE,Hele,17.04.2023,07.00-19.00,59.925625,10.7275302
BERGSTIEN,Akersbakken – Geitemyrsveien,24.04.2023,07.00-19.00,59.9247616,10.743433
BERGTUNVEIEN,Hele,02.05.2023,07.00-19.00,59.9464307,10.9254017
