Gatenavn,Kommentar,Dato,Tidpunkt,lat,lon
LANGLIA,John Collestts allè- Pastor Fangens vei,21.04.2023,07.00-19.00,59.9445716,10.7377462
LANGMYRVEIEN,Hele,11.05.2023,07.00-19.00,59.9623554,10.750801
LANGS LINJEN,Hele,14.04.2023,07.00-19.00,59.8580815,10.7863268
LANGSERVEIEN,Hele,09.05.2023,07.00-19.00,59.9684338,10.7934012
LANGVIKSVEIEN,Bygdøynesveien - Fredriksborgveien,21.04.2023,07.00-19.00,59.9040746,10.6868286
LANGVIKSVEIEN,Museumsveien – Fredriksborgveien,08.05.2023,07.00-19.00,59.9040746,10.6868286
LANGÅSVEIEN,Hele,11.05.2023,07.00-19.00,59.9610328,10.7599152
LARSBRÅTVEIEN,Hele,04.05.2023,07.00-19.00,59.9165244,10.8604853
LASSONS GATE,Parkveien – Huitfeldts Gate,13.04.2023,07.00-19.00,59.911937,10.720186
LAURA GUNDERSENS GATE,Thereses Gate – Louises Gate,24.04.2023,07.00-19.00,59.9265738,10.7326716
LAVRANS VEI,Hele,19.04.2023,07.00-19.00,59.9197121,10.842424
LEGATVEIEN,Hele,03.05.2023,07.00-19.00,59.9464026,10.7579783
LEIV EIRIKSSONS GATE,Skarpsnogata – Drammensveien,14.04.2023,07.00-19.00,59.9123528,10.7056265
LENSMANN HIORTHS ALLÉ,Hele,02.05.2023,07.00-19.00,59.9125645,10.794021
LERDALSFARET,Hele,26.04.2023,07.00-19.00,59.8392122,10.8082208
LERDALSVEIEN,Hele,26.04.2023,07.00-19.00,59.8371999,10.8093224
LERKEVEIEN,Hele,09.05.2023,07.00-19.00,59.9459285,10.8895665
LERSOLVEIEN,Hele,05.05.2023,07.00-19.00,59.9537602,10.7438161
LETTVINTVEIEN,Til Grefsenveien,26.04.2023,07.00-19.00,59.9459956,10.7851367
LIADALSVEIEN,Hele,25.04.2023,07.00-19.00,59.8487814,10.7899114
LIAKOLLVEIEN,Hele,26.04.2023,07.00-19.00,59.8290229,10.7993592
LIAVEIEN,Hele,28.04.2023,07.00-19.00,59.9453888,10.7972206
LIBAKKFARET,Hele,20.04.2023,07.00-19.00,59.8883652,10.8021922
LIBAKKVEIEN,Hele,20.04.2023,07.00-19.00,59.8888545,10.8039203
LILJEVEIEN,Hele,15.05.2023,07.00-19.00,59.9348086,10.7971522
LILLE BORGEN VEI,Hele,20.04.2023,07.00-19.00,59.9381406,10.7021281
LILLE FROGNER ALLÉ,Gyldenløves Gate – Kruses Gt/Trapp,18.04.2023,07.00-19.00,59.9194981,10.7123247
LILLE FROGNER ALLÉ,Kruses Gate – Frognerveien,27.04.2023,07.00-19.00,59.9194981,10.7123247
LILLE FROGNER ALLÉ,Trapp V/Kruses Gate,27.04.2023,07.00-19.00,59.9194981,10.7123247
LILLE FRØENS VEI,Hele,18.04.2023,07.00-19.00,59.9354142,10.7119054
LILLEBERGSVINGEN,Grenseveien – Ende,02.05.2023,07.00-19.00,59.9185667,10.798433
LILLEBERGVEIEN,Grenseveien – Lillebergsvingen,02.05.2023,07.00-19.00,59.9204217,10.796276
LILLEBORGGATA,Agathe Grøndahls Gate – Åsengata,26.04.2023,07.00-19.00,59.9368071,10.7701288
LILLETORGET P-PLASS,Stenersgate – Brugata,11.05.2023,19.00-07.00,59.91336749999999,10.756317
LILLEVANNSSKOGEN,Hele,23.05.2023,07.00-19.00,59.9799453,10.6550785
LILLEVANNSVEIEN,Hele,23.05.2023,07.00-19.00,59.9672693,10.6546807
LILLEVEIEN,Hele,27.04.2023,07.00-19.00,59.9496718,10.6460185
LILLOE-OLSENS VEI,Hele,04.05.2023,07.00-19.00,59.9550155,10.7832925
LILLOGATA,Treschows Gate – Ende Blindvei,25.04.2023,07.00-19.00,59.9424182,10.7678416
LILLOHAGEN,Lillogata – Sandakerveien,03.05.2023,07.00-19.00,59.94446569999999,10.7732405
LILLOSETERVEIEN,Hele,03.05.2023,07.00-19.00,59.9637717,10.8682527
LINDBÄCKVEIEN,Hele,25.04.2023,07.00-19.00,59.8686183,10.8031578
LINDEALLÈEN,Hele,26.04.2023,07.00-19.00,59.9477491,10.7848981
LINDEBERGLIA,Hele,24.04.2023,07.00-19.00,59.9318525,10.8733576
LINDEBERGVEIEN,P-Plass,20.04.2023,19.00-07.00,59.931772,10.8756741
LINDEBERGVEIEN,Hele,15.05.2023,19.00-07.00,59.931772,10.8756741
LINDEBERGÅSEN,Hele,24.04.2023,07.00-19.00,59.9295031,10.8762363
LINDEMANS GATE,Thomas Heftyes Gate – Ende,14.04.2023,07.00-19.00,59.9218587,10.7039149
LINDERNGATA,Armauer Hansens Gt – Geitmyrsveien,10.05.2023,07.00-19.00,59.9339743,10.7414643
LINDERUDSLETTA,Hele,16.05.2023,07.00-19.00,59.9456309,10.8429946
LINDERUDVEIEN,Hele,11.05.2023,07.00-19.00,59.9411477,10.8417613
LINHUSVEIEN,Fra Bjerkebakken,27.04.2023,07.00-19.00,59.9572879,10.6371258
LINHUSVEIEN,Fra Sørkedalsveien- Bjerkebakken,27.04.2023,07.00-19.00,59.9572879,10.6371258
LINJEVEIEN,Hele,02.05.2023,07.00-19.00,59.9480269,10.9200992
LINNEAVEIEN,Hele,19.04.2023,07.00-19.00,59.8982825,10.7929519
LINSTOWS GATE,Sven Bruns Gt – Wergelandsveien,09.05.2023,19.00-07.00,59.9193246,10.7318015
LJABRUBAKKEN,Hele,17.04.2023,07.00-19.00,59.8527374,10.802837
LJABRUDIAGONALEN,Hauketo – Ljansbrukveien,08.05.2023,19.00-07.00,59.8417365,10.7901914
LJABRUVEIEN,Grønmo – Hauketo,07.05.2023,19.00-07.00,59.8465292,10.8125762
LJABRUVEIEN,Hele,07.05.2023,19.00-07.00,59.8465292,10.8125762
LJANSBAKKEN,Hele,13.04.2023,07.00-19.00,59.8509427,10.7830021
LJANSBRUKVEIEN,,25.04.2023,19.00-07.00,59.8314507,10.7719849
LJANSBRUKVEIEN,PARKERING,10.05.2023,19.00-07.00,59.8314507,10.7719849
LOFOTGATA,Vøyensvingen – Maridalsveien,26.04.2023,07.00-19.00,59.9298726,10.7529711
LOFSRUDHØGDA,Hele,27.04.2023,07.00-19.00,59.8463516,10.8267563
LOFSRUDVEIEN,Hele,26.04.2023,19.00-07.00,59.8485808,10.8284335
LOFTHUS TERRASSE,Hele inn til nr 11,28.04.2023,07.00-19.00,59.9470779,10.7995094
LOFTHUSVEIEN,Årvollveien-Sperring,15.05.2023,07.00-19.00,59.9441419,10.7975802
LOFTHUSVEIEN,Fra Grefsenveien,28.04.2023,07.00-19.00,59.9441419,10.7975802
LOUISES GATE,Thereses Gt – Ullevålsvn – Colletts Gt,02.05.2023,19.00-07.00,59.9264256,10.7352832
LOVISENBERGGATA,Geitmyrsveien – Lovisenberg Sykehus,24.04.2023,07.00-19.00,59.9327645,10.7442875
LOVISENLUND,Hele,21.04.2023,07.00-19.00,59.9038073,10.673961
LUDVIG KARSTENS VEI,Hele,08.05.2023,07.00-19.00,59.9339828,10.9230093
LUFTFARTSVEIEN,Hele,10.05.2023,07.00-19.00,59.9476789,10.6616619
LUNAVEIEN,Hele,21.04.2023,07.00-19.00,59.8731458,10.8030529
LUNDEN,Hele,11.05.2023,07.00-19.00,59.9391105,10.8286049
LUNDLIVEIEN,Hele,12.05.2023,07.00-19.00,59.9371167,10.8129668
LUNDVEIEN,Hele,03.05.2023,07.00-19.00,59.9022616,10.8069533
LUNDÅSVEIEN,Starvn. inn til kryss,05.05.2023,07.00-19.00,59.9454397,10.9387317
LUNHVILEVEIEN,Hele,26.04.2023,19.00-07.00,59.8403963,10.832358
LUNHVILEVEIEN,PARKERING,10.05.2023,19.00-07.00,59.8403963,10.832358
LUNNESTIEN,Hele,04.05.2023,07.00-19.00,59.8874286,10.8452593
LUSETJERNVEIEN,Hele,26.04.2023,07.00-19.00,59.8338021,10.7835539
LUSETJERNVEIEN,PARKERING,10.05.2023,19.00-07.00,59.8338021,10.7835539
LUTVANNSKROKEN,Hele,04.05.2023,07.00-19.00,59.9271232,10.8716204
LUTVANNSVEIEN,Hele,04.05.2023,07.00-19.00,59.9218866,10.8741999
LYBEKKVEIEN,Hele,10.05.2023,07.00-19.00,59.9519227,10.6663251
LYDER SAGENS GATE,Fageborggata – Pilestredet,15.05.2023,07.00-19.00,59.9303421,10.7284994
LYNGTREKKET,Hele,26.04.2023,07.00-19.00,59.9430877,10.922836
LYNGVEIEN,Hele,19.04.2023,07.00-19.00,59.8953767,10.7963068
LYNGÅSVEIEN,Hele,04.05.2023,07.00-19.00,59.956534,10.7901976
LYSESKRENTEN,Hele,24.04.2023,07.00-19.00,59.9284827,10.6291529
LYSEVEIEN,Fra Vesteråsveien-Ullernkollen,17.04.2023,07.00-19.00,59.9309019,10.6404669
LYSEVEIEN,Til Vesteråsveien,17.04.2023,07.00-19.00,59.9309019,10.6404669
LYSHAGEN,Hele,17.04.2023,07.00-19.00,59.9138688,10.7522454
LYTTERVEIEN,Hele,09.05.2023,07.00-19.00,59.9667725,10.7706172
LÅKEBERGET,P-plass,17.04.2023,19.00-07.00,59.9799632,10.7572514
LÅVEVEIEN,Hele,08.05.2023,07.00-19.00,59.9049543,10.8351705
LÆRER HOLES VEI,Hele,02.05.2023,07.00-19.00,59.9434596,10.6676024
LØCHENVEIEN,Hele,21.04.2023,07.00-19.00,59.9029447,10.6936062
LØKKASKOGEN,Hele,12.05.2023,07.00-19.00,59.9555051,10.6791162
LØKKEVEIEN,Henrik Ibsens Gt – Ruseløkkvn,16.04.2023,19.00-07.00,59.9140782,10.7248179
LØKKEVEIEN X RUSELØKKVEIEN,Trapp V/Victoria Terrasse,16.04.2023,19.00-07.00,59.9131229,10.7270807
LØNNEVEIEN,Hele,09.05.2023,07.00-19.00,59.9402265,10.8881492
LØNNHAUGEN ALLÈ,Hele,12.05.2023,07.00-19.00,59.9419016,10.6941537
LØRENFARET,Lørenvangen – Ende,24.04.2023,19.00-07.00,59.931266,10.798504
LØRENVANGEN,Lørenveien – Dag Hammarskjølds Vei,24.04.2023,19.00-07.00,59.9306154,10.7965998
LØRENVEIEN,Hele,24.04.2023,19.00-07.00,59.9311104,10.7907056
LØVENSKIOLDS GATE,Frognerveien – Briskebyvn/Industrigt,14.04.2023,07.00-19.00,59.9208885,10.7128936
LØVSETDALEN,Hele,10.05.2023,07.00-19.00,59.8743198,10.8306456
LØVSETFARET,Hele,10.05.2023,07.00-19.00,59.8719167,10.8331814
LØVÅSVEIEN,Hele,03.05.2023,07.00-19.00,59.9461753,10.7475056
LØYPEVEIEN,Hele,08.05.2023,07.00-19.00,59.895692,10.8423986
MADSERUD ALLE`,Hele,24.05.2023,07.00-19.00,59.923335,10.6953251
MAGNEFARET,Hele,03.05.2023,07.00-19.00,59.901818,10.8057155
MAGNUS BARFOTS GATE,Olav Kyrres Gate – Frøyas Gate,17.04.2023,07.00-19.00,59.9182366,10.6953192
MAGNUS BERGS GATE,Thomas Heftyes Gate – Frognerveien,13.04.2023,07.00-19.00,59.9206305,10.7054831
MAGNUS HYDLES VEI,Hele,17.04.2023,07.00-19.00,59.8574499,10.8126638
MAGNUS` GATE,Åkebergveien – Gunhilds Gate,05.05.2023,07.00-19.00,59.9113264,10.7737558
MAILUNDVEIEN,Trondheimsveien – Fagerheimgata,27.04.2023,19.00-07.00,59.9317541,10.7757556
MAJORSTUVEIEN,Professor Dahls Gt – Kirkeveien,17.04.2023,19.00-07.00,59.9261652,10.7172709
MALERHAUGVEIEN,Grensveien – Snuplass,09.05.2023,19.00-07.00,59.9146808,10.7928593
MALMØGATA,Fagerheimgata – Gøteborggata,18.04.2023,19.00-07.00,59.9264995,10.7674413
MANDALLS GATE,Rubina Ranas Gt – Grønland,08.05.2023,19.00-07.00,59.9115681,10.7632452
MANGLEBERGVEIEN,Hele,03.05.2023,07.00-19.00,59.9004147,10.8100971
MANGLERUDVEIEN,Hele,03.05.2023,07.00-19.00,59.9013875,10.8106044
MARCUS THRANES GATE,Vogts Gate – Griffenfeldts Gate,25.04.2023,19.00-07.00,59.9326525,10.7591895
MARCUS THRANES GATE,Myraløkka P-Plass M. Th. Gt – Ende,25.04.2023,19.00-07.00,59.9326525,10.7591895
MARGRETHE PARMS VEI,Hele,28.04.2023,07.00-19.00,59.9665015,10.9088331
MARIA DEHLIS VEI,Hele,11.05.2023,19.00-07.00,59.9506406,10.8962212
MARIBOES GATE,Hammersborg Gt (Hi Ringen) – Hausmannsgt,03.05.2023,19.00-07.00,59.9171087,10.751429
MARIDALSVEIEN,Kjelsåsveien- Rundkjøring /v Nydalen bruks vei,23.04.2023,19.00-07.00,59.9487598,10.7595269
MARIDALSVEIEN,Kjelsåsveien-Snuplass,11.05.2023,19.00-07.00,59.9487598,10.7595269
MARIDALSVEIEN,Hausmanns Gate – Uelands Gate,10.05.2023,19.00-07.00,59.9487598,10.7595269
MARIDALSVEIEN,Uelands Gate – Waldemar Thranes Gt,11.05.2023,19.00-07.00,59.9487598,10.7595269
MARIDALSVEIEN,P-Plass Nr 29/31 Uelands Gate – Maridalsveien,11.05.2023,19.00-07.00,59.9487598,10.7595269
MARIDALSVEIEN,Adv. Dehlis Plass – Moldegata,19.04.2023,19.00-07.00,59.9487598,10.7595269
MARIDALSVEIEN,P-Plass Telthusbakken – Fredensborgveien,20.04.2023,19.00-07.00,59.9487598,10.7595269
MARIDALSVEIEN,Arendalsgata – Adv. Dehlis Plass,23.04.2023,07.00-19.00,59.9487598,10.7595269
MARIDALSVEIEN,Thurmanns Gate – Arendalsgata,03.05.2023,19.00-07.00,59.9487598,10.7595269
MARIDALSVEIEN,Trapp V/Moldegata,09.05.2023,19.00-07.00,59.9487598,10.7595269
MARIDALSVEIEN,Thurmannsgt – Waldemar Thranes Gate,09.05.2023,07.00-19.00,59.9487598,10.7595269
MARIENLUNDVEIEN,Hele,20.04.2023,07.00-19.00,59.8839052,10.7837826
MARIES GATE,Majorstuveien – Kirkeveien,17.04.2023,07.00-19.00,59.9275154,10.7134194
MARKSTIEN,Hele,02.05.2023,07.00-19.00,59.9422329,10.6862127
MARKVEIEN,Nordre Gate – Søndre Gate,09.05.2023,19.00-07.00,59.9234321,10.7572807
MARMORVEIEN,Hele,25.04.2023,07.00-19.00,59.8746321,10.8210573
MARSTRANDGATA,Københavngata (Ende) – Gøteborggata,12.05.2023,07.00-19.00,59.9272413,10.7684592
MARSVEIEN,Hele,04.05.2023,07.00-19.00,59.9602691,10.7817742
MARTA STEINSVIKS VEI,Hele,27.04.2023,07.00-19.00,59.8549266,10.8212355
MARTHA TYNES` VEI,Hele,02.05.2023,07.00-19.00,59.9699294,10.9219949
MARTIN BORREBEKKENS VEI,Hele,12.05.2023,07.00-19.00,59.9400044,10.823505
MARTIN LINGES VEI,Hele,10.05.2023,07.00-19.00,59.8785785,10.8410484
MARTIN SKATVEDTS VEI,Hele,19.04.2023,07.00-19.00,59.9496217,10.8629238
MARTIN STRANDLIS VEI,Hele,27.04.2023,07.00-19.00,59.9566988,10.8663173
MARTINIUS LØRDAHLS PL,Louises Gt – Sofies Gt,16.04.2023,19.00-07.00,59.9138688,10.7522454
MAURITZ HANSENS GATE,Pilestredet – Welhavens Gt,19.04.2023,07.00-19.00,59.9214677,10.7318621
MAURSTIEN,Hele,11.05.2023,07.00-19.00,59.9598451,10.7568711
MAURTUVEIEN,Hele,17.04.2023,19.00-07.00,59.8249693,10.8514143
MEKANIKERVEIEN,Hele,08.05.2023,07.00-19.00,59.9027998,10.8420386
MEKLENBORGVEIEN,Hele,27.04.2023,07.00-19.00,59.8215939,10.83477
MELKEVEIEN,Hele,16.05.2023,07.00-19.00,59.9597518,10.7053188
MELLBYEDALEN,Museumsveien – Huk Aveny,08.05.2023,07.00-19.00,59.9071501,10.690962
MELLOMBØLGEN,Hele,24.04.2023,07.00-19.00,59.8670207,10.8183322
MELTZERS GATE,Niels Juels Gate – Inkognitogata,19.04.2023,07.00-19.00,59.917864,10.7198969
MELUMVEIEN,Hele,25.04.2023,07.00-19.00,59.9450099,10.6384297
MERKURVEIEN,Hele,04.05.2023,07.00-19.00,59.9583537,10.7788791
MICHEL NIELSENS VEI,Hele,03.05.2023,07.00-19.00,59.9483862,10.7514863
MICHELTVEIEN,Hele,09.05.2023,07.00-19.00,59.9419697,10.8875979
MIDDELTHUNS GATE,Trapp V/Ole Fladagers Gate,13.04.2023,07.00-19.00,59.9283405,10.7111591
MIDDELTHUNS GATE,Neuberggata – Fr Nansens Vei,26.04.2023,19.00-07.00,59.9283405,10.7111591
MIDTODDVEIEN,Hele,09.05.2023,07.00-19.00,59.9661032,10.7870194
MIDTSTUGRENDA,Hele,22.05.2023,07.00-19.00,59.9601635,10.6784189
MIDTTUNVEIEN,Hele,17.04.2023,07.00-19.00,59.8734024,10.7854638
MIDTVEIEN,Hele,11.05.2023,07.00-19.00,59.9343877,10.8238681
MIDTÅSEN,Hele,14.04.2023,07.00-19.00,59.8559971,10.7962676
MIKJESBAKKEN,Hele,25.04.2023,07.00-19.00,59.9380825,10.6613537
MIKKEL DOBLOUGS GATE,Hele/Colletts Gt/Louises Gt – Snuplass,25.04.2023,07.00-19.00,59.926452,10.7371809
MIKKEL REVS VEI,Hele,04.05.2023,07.00-19.00,59.8890455,10.8538006
MIKROBØLGEN,Hele,21.04.2023,07.00-19.00,59.8668028,10.8124704
MINA BEITEPLUKKSVEI,Hele,27.04.2023,07.00-19.00,59.8297799,10.8358898
MINISTER DITLEFFS VEI,Hele,11.05.2023,07.00-19.00,59.9632494,10.7386696
MOGATA,Uelands Gate – Maridalsveien,04.05.2023,07.00-19.00,59.9393224,10.7530105
MOGENS THORSENS GATE,Fredrik Stangs Gate – Niels Juelsgt,14.04.2023,07.00-19.00,59.9158223,10.7106842
MOLDEGATA,Bergens Gata – Maridalsveien,26.04.2023,07.00-19.00,59.9438217,10.7614705
MOLDEGATA,Trapp Moldegata X Maridalsveien,03.05.2023,07.00-19.00,59.9438217,10.7614705
MOLTKE MOES VEI,Hele,20.04.2023,07.00-19.00,59.9403757,10.7250455
MONOLITVEIEN,Hele,19.04.2023,07.00-19.00,59.9324536,10.6905231
MONRADS GATE,Munchmuseets P-Plass V/Monradsgate,18.04.2023,19.00-07.00,59.9190002,10.7732352
MONRADS GATE,Tøyengata – Hagegata,05.05.2023,07.00-19.00,59.9190002,10.7732352
MONRADS GATE,Hagegata – Bom Utenfor Geologisk Museum,05.05.2023,07.00-19.00,59.9190002,10.7732352
MONTEBELLO TERRASSE,Hele,24.04.2023,07.00-19.00,59.933332,10.6634607
MONTEBELLOBAKKEN,Helt ned til Ullernchaussèen,24.04.2023,07.00-19.00,59.9322682,10.6658878
MOR GO`HJERTAS VEI,P-Plass Mor Go`Hjertas Vei – Ende,26.04.2023,07.00-19.00,59.9423913,10.7640431
MOR GO`HJERTAS VEI,Maridalsveien – Ende,26.04.2023,07.00-19.00,59.9423913,10.7640431
MORELLS VEI,Hele,26.04.2023,07.00-19.00,59.9490002,10.7822708
MORENSTIEN,Hele,11.05.2023,07.00-19.00,59.959209,10.7565615
MORGEDALSVEGEN,Hele,25.04.2023,07.00-19.00,59.9384269,10.6694679
MORTENSRUDVEIEN,Hele,01.05.2023,19.00-07.00,59.8486671,10.8212243
MORTENSVINGEN,Hele ned til Hartmanns vei,24.04.2023,07.00-19.00,59.9247225,10.6326304
MOSEKOLLEN,Hele,27.04.2023,07.00-19.00,59.9398334,10.6454773
MOSERABBEN,Hele,27.04.2023,07.00-19.00,59.9409255,10.6458715
MOSSEVEIEN,Rundkjøring Ved E6 – Oslo Gate,11.05.2023,19.00-07.00,59.8935036,10.7590254
MOTZFELDTS GATE,Jens Bjelkes Gate – Grønland,15.05.2023,07.00-19.00,59.9146703,10.7645773
MUNCHS GATE,Apotekergata – St Olavs Gate,08.05.2023,19.00-07.00,59.9167036,10.741877
MUNKEBEKKEN,Hele,08.05.2023,07.00-19.00,59.9321023,10.9173054
MUNKEDAMSVEIEN,Drammensveien – Bom Ved Frognerstranda,13.04.2023,07.00-19.00,59.9118971,10.7186213
MUNKEGATA,Oslo Gate – Schweigaards Gate,15.05.2023,07.00-19.00,59.9082106,10.7686163
MUNKELIA,Hele,24.04.2023,07.00-19.00,59.8630922,10.807221
MUNKENGVEIEN,Hele,12.05.2023,07.00-19.00,59.9379046,10.6889007
MUNKERUDBAKKEN,Hele,17.04.2023,07.00-19.00,59.8532315,10.8096697
MUNKERUDTUNET,Hele,17.04.2023,07.00-19.00,59.859681,10.8117428
MUNKERUDVEIEN,Nordstrandsveien – Snuplass,17.04.2023,07.00-19.00,59.8596793,10.8074255
MUNKERUDVEIEN,Bernt Knutsensvei – Nordstrandsveien,24.04.2023,07.00-19.00,59.8596793,10.8074255
MUNKERUDVOLLEN,Hele,17.04.2023,07.00-19.00,59.8556485,10.8140077
MUNKERUDÅSEN,Hele,17.04.2023,07.00-19.00,59.8560329,10.8074064
MUNTHES GATE,Eckersbergs Gate – Kirkeveien,18.04.2023,07.00-19.00,59.924098,10.7106723
MUSEUMSVEIEN,Folkemuseum P-Plass Museumsvn – Dronninghavnvn,08.05.2023,07.00-19.00,59.9076628,10.6865764
MUSEUMSVEIEN,Strømsborgveien – Langviksveien,08.05.2023,07.00-19.00,59.9076628,10.6865764
MUSEUMSVEIEN,Langviksveien – Huk Aveny,08.05.2023,07.00-19.00,59.9076628,10.6865764
MYKLEGARDGATA,Schweigaards Gate – Nonnegata,11.05.2023,07.00-19.00,59.9075552,10.7742558
MYLSKERUDVEIEN,Hele,21.04.2023,07.00-19.00,59.8744221,10.802441
MYNTFUNNVEIEN,Hele,17.04.2023,07.00-19.00,59.928117,10.6341384
MYRALØKKA,Maridalsvn – Arendals Gt,03.05.2023,07.00-19.00,59.93588219999999,10.7571805
MYRBAKKVEIEN,Hele,02.05.2023,07.00-19.00,59.9451853,10.9327735
MYRERDRAGET,Hele,09.05.2023,07.00-19.00,59.9655125,10.7875835
MYRERSKOGVEIEN,Hele (inn til skolen),07.05.2023,19.00-07.00,59.9636627,10.7941894
MYRERVEIEN,Hele,09.05.2023,07.00-19.00,59.9655343,10.7895005
MYRHAUGEN,Hele,27.04.2023,07.00-19.00,59.9408853,10.6436204
MÅLTROSTVEIEN,Hele,22.05.2023,07.00-19.00,59.9621508,10.6565593
MØLLEFARET,Hele,25.04.2023,07.00-19.00,59.9378802,10.6365656
MØLLERGATA,Hausmannsgate – Youngs Gate,11.05.2023,19.00-07.00,59.9156037,10.7487254
MØLLERVEIEN,Maridalsvn – Nedre Gate,11.05.2023,19.00-07.00,59.9212305,10.752045
MØLLESVINGEN,Hele,21.04.2023,07.00-19.00,59.9471723,10.735237
MØRTELVERKSBAKKEN,Hele,15.05.2023,07.00-19.00,59.9354842,10.8052944
NANDRUPS VEI,Hele,28.04.2023,07.00-19.00,59.9522106,10.7939147
NANNESTADGATA,Normannsgata/Rundt Kirken – Hagegata,12.05.2023,07.00-19.00,59.9117595,10.7799684
NEDRE GATE FRIOMRÅDE,Nedre Gate – Nordre Gate,03.05.2023,07.00-19.00,59.9202439,10.7545043
NEDRE KALBAKKVEI,Ny Vei – Nedre Kaldbakkvei,19.04.2023,19.00-07.00,59.9432346,10.8597254
NEDRE KALBAKKVEI,Bedriftsveien – Østre Aker Vei,19.04.2023,19.00-07.00,59.9432346,10.8597254
NEDRE KALBAKKVEI,Bedriftsveien-Kalbakkveien,20.04.2023,19.00-07.00,59.9432346,10.8597254
NEDRE PRINSDALS VEI,Hele,27.04.2023,19.00-07.00,59.8370027,10.8066275
NEDRE ROMMEN,Hele,23.04.2023,19.00-07.00,59.9626025,10.9076326
NEDRE SILKESTRÅ,Hele,25.05.2023,07.00-19.00,59.9290333,10.6833123
NEDRE SKOGVEI,Hele,19.05.2023,07.00-19.00,59.9193631,10.6578324
NEDRE SKØYEN VEI,Inn til snuplass,24.05.2023,07.00-19.00,59.9241635,10.680908
NEDRE STABBURVEI,Hele,03.05.2023,07.00-19.00,59.9521395,10.7593501
NEDRE ULLERN TERRASSE,Hele,19.05.2023,07.00-19.00,59.9262281,10.65863
NEDRE ULLEVÅL,Hele,21.04.2023,07.00-19.00,59.9384807,10.7347505
NEDSLAGSVEIEN,Hele,02.05.2023,07.00-19.00,59.8977997,10.8539924
NELLIKVEIEN,Hele,15.05.2023,07.00-19.00,59.936564,10.7979493
NEPTTUNVEIEN,Hele,04.05.2023,07.00-19.00,59.960394,10.7797431
NEUBERGGATA,Prof Dahls Gt – Bogstadvn,26.04.2023,19.00-07.00,59.9265917,10.7153381
NEUBERGGATA,P-Plass Neuberggata – Enden,26.04.2023,19.00-07.00,59.9265917,10.7153381
NICO HAMBROS VEI,Hele,02.05.2023,07.00-19.00,59.9706861,10.9299984
NIELS HENRIK ABLES VEI,Hele,20.04.2023,07.00-19.00,59.9418865,10.725338
NIELS JUELS GATE,Bygdøy Allé – Gyldenløves Gate,13.04.2023,19.00-07.00,59.9155293,10.7132657
NIELS JUELS GATE,Svoldergata – Bygdøy Allé,14.04.2023,07.00-19.00,59.9155293,10.7132657
NIELS JUELS GATE,Gyldenløves Gate – Briskebyveien,19.04.2023,07.00-19.00,59.9155293,10.7132657
NIELSENBAKKEN,Hele,13.04.2023,07.00-19.00,59.8525602,10.7874652
NILS BAYS VEI,Hele,05.05.2023,07.00-19.00,59.9530241,10.7402381
NILS COLLETT VOGTS VEI,Hele,22.05.2023,07.00-19.00,59.9624199,10.6526667
NILS HANSENS VEI,Hele inkl stikkvei ved bensinstasjon,18.04.2023,07.00-19.00,59.9104236,10.8203263
NILS HUUS` GATE,Brettevilles Gt – Reichenvalds Gt,25.04.2023,07.00-19.00,59.9415859,10.7749958
NILS LAURITSSONS VEI,Hele,21.04.2023,07.00-19.00,59.947421,10.7413651
NILS LAURITSSØNS VEI,Fra John Colletts Allè,03.05.2023,07.00-19.00,59.947421,10.7413651
NILS TOLLERS VEI,Hele,20.04.2023,07.00-19.00,59.9374873,10.7256132
NILSERUDKLEIVA,Fra Carl Kjelsens vei,05.05.2023,07.00-19.00,59.9608219,10.7478634
NILSERUDKLEIVA,Hele,08.05.2023,07.00-19.00,59.9608219,10.7478634
NISSENS GATE,Toftes Gt – Falsens Gt,12.05.2023,07.00-19.00,59.9261173,10.762271
NITTEDALGATA,Norderhovgata – Normannsgata,15.05.2023,07.00-19.00,59.9138386,10.7809069
NJÅLS VEI,Ansgar Sørlies Vei – Ende Nr 20/24,03.05.2023,07.00-19.00,59.919404,10.786184
NOBELS GATE,Blindv Dr Veien – Halvdan Svartes Gate,17.04.2023,07.00-19.00,59.9192276,10.7001223
NONNEGATA,Klostergata – Vestfoldgata,11.05.2023,07.00-19.00,59.9081141,10.7743563
NORDAHL BRUNS GATE,Pilestredet – Ullevålsveien,24.04.2023,07.00-19.00,59.9188347,10.7402962
NORDALVEIEN,Hele,12.05.2023,07.00-19.00,59.9355436,10.8156488
NORDBERGBAKKEN,Hele,05.05.2023,07.00-19.00,59.9557352,10.7413518
NORDBERGVEIEN,Fra Sognsveien - Tåsenveien,02.05.2023,19.00-07.00,59.9581712,10.7370416
NORDBERGVEIEN,Fra Sognsveien - Gaustadveien,08.05.2023,07.00-19.00,59.9581712,10.7370416
NORDENGSTUBBEN,Hele,27.04.2023,07.00-19.00,59.9594394,10.6332976
NORDENGVEIEN,Hele,27.04.2023,07.00-19.00,59.9543152,10.6419675
NORDHAGAVEIEN,Hele,04.05.2023,07.00-19.00,59.9564103,10.7928477
NORDHEIMBAKKEN,Hele,25.04.2023,07.00-19.00,59.9375718,10.6655906
NORDKAPPGATA,Hans N. Hauges Gt. – Jolly K. Johansens Gt,26.04.2023,19.00-07.00,59.937299,10.773743
